ASV	BG041_F06	BG044_F06	BG047_F06	BG051_F07	BG054_F05	BG057_F07	BG060_F08	BG063_F05	BY001_F12	BY005_F08	BY009_F12	BY012_F08	BY014_F08	BY016_F12	BY018_F12	BY020_F12	BY022_F08	BY024_F08	BY025_F12	BY026_F08	BY027_F09	BY028_F08	BY029_F08	BY030_F08	BY031_F12	BY032_F12	BY033_F08	BY034_F12	BY035_F09	BY036_F09	BY037_F12	BY038_F09	BY039_F12	BY040_F09	BY041_F09	BY042_F09	BY043_F09	BY044_F09	BY045_F09	BY047_F13	BY050_F09	BY052_F09	BY054_F10	BY055_F13	BY057_F10	BY059_F13	BY061_F13	BY064_F10	BY066_F13	BY068_F13	BY070_F10	BY072_F10	BY074_F13	BY076_F10	BY077_F10	EJ037_F10	Ext001_F01	Ext002_F01	Ext003_F03	Ext004_F06	Ext005_F10	Ext006_F10	Ext007_F11	Ext008_F13	GD015_F06	GD016_F10	GD017_F10	GD018_F11	GD019_F06	GD028_F06	GD034_F06	GW021_F11	GW025_F11	GW031_F11	GW035_F11	HH001_F11	HH004_F06	HH007_F06	HH009_F06	HH013_F11	HH014_F06	MN020_F03	MN025_F04	MN030_F07	MN035_F04	MN038_F04	MN041_F04	MN044_F04	MN047_F07	MN050_F04	MN053_F04	MN059_F04	MN061_F04	MN062_F07	MN064_F04	MN066_F04	MN069_F04	MN071_F05	MN073_F07	MN075_F05	MN077_F05	MN078_F05	MN079_F05	MN080_F07	MN082_F07	MN083_F05	MN084_F05	MN085_F05	MN089_F07	MN091_F07	MN093_F07	MN097_F05	MN101_F05	MN104_F07	PCR001_F08	PCR002_F16	PCR003_F01	TG001_F13	TG005_F13	TG009_F12	TG010_F01	TG014_F13	TG018_F13	TG019_F14	TG021_F14	TG023_F14	TG027_F14	TG029_F14	TG031_F14	TG033_F14	TG035_F14	TG036_F14	TG037_F14	TG038_F14	TG040_F14	TG042_F15	TG044_F15	TG046_F15	TG048_F15	TG050_F15	TG052_F15	TG054_F15	TG056_F15	TG058_F15	TG060_F15	TG062_F15	TG063_F15	TG064_F16	TG065_F16	TG066_F16	TG067_F16	TG068_F16	TG070_F16	TG072_F16	TG074_F16	TG076_F16	TG078_F16	TG080_F16	TG082_F01	TY001_F01	TY005_F01	TY009_F01	TY014_F01	TY016_F01	TY018_F01	TY019_F01	TY021_F01	TY023_F01	TY025_F01	TY027_F02	TY029_F02	TY031_F02	TY033_F02	TY035_F02	TY037_F02	TY039_F02	TY041_F02	TY043_F02	TY045_F02	TY047_F02	TY049_F02	TY053_F03	TY055_F03	TY057_F03	TY060_F03	TY065_F03	TY070_F03	TY075_F03	TY079_F03	TY084_F03	TY089_F03	WD001_F11	WD002_F11	WD003_F11	WD004_F11	ZymoMCExt_F01
0001b8b408db310a78d00387f1934a6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0008cbbd0efcee672d46336211c8fefe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001af72c9a00006e454c5d7eeeb81c23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001d18ff38395a871d1d683c880d2ac5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003e998f73e8d340e8ab87ff9df1413c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	42	0	7	5	0	0	0	0	0	46	7	0	35	0	0	0	0	0	0	13	11	56	0	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	0	0	9	0	0	0	0	0	0	11	0	15	27	0	0	0	0	52	7	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	35	0	0	0	0	0	0	0
008d3d92bfee2ea95d566dbc5cf3192d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
0165422a30e9497d1e75f1ba49672827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01a75410e30981f12774ead5441083a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	20	0	0	0	0	0
0206c1d026306c8ace781276a8a13e3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	9	0	0	0	0	0	0	0	0	0	331	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02775177e4e994982187c716dd395db7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
