SampleID	Sample	SampleNo	Organism	Date_collected	ExtDate	ExtBy	PlateNo	PlateWell	Type	Zoo	F	R	DNA_Extraction_Weight_g	Gender	Stage	Ext_Blank	PCR_Neg	Keep	Mixed	OH_band	In_analysis
BY038_F09	BY038	38	Booniny	9-Aug-21	20/12/2021	IB	2	A04	faeces	Currumbin	F09	R04	0.25	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY039_F12	BY039	39	Booniny	10-Aug-21	21/12/2021	IB	2	D12	faeces	Currumbin	F12	R12	0.33	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY040_F09	BY040	40	Booniny	12-Aug-21	20/12/2021	IB	2	A05	faeces	Currumbin	F09	R05	0.41	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY041_F09	BY041	41	Booniny	14-Aug-21	20/12/2021	AD	2	A06	faeces	Currumbin	F09	R06	0.16	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BG054_F05	BG054	54	Bergu	12-Jun-21	14/12/2021	IB	1	E11	faeces	Currumbin	F05	R11	0.25	Male	Male	FALSE	FALSE	No	Yes	N	FALSE
BY076_F10	BY076	76	Booniny	3-Oct-21	20/12/2021	IB	2	B06	faeces	Currumbin	F10	R06	0.24	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY077_F10	BY077	77	Booniny	5-Oct-21	20/12/2021	AD	2	B07	faeces	Currumbin	F10	R07	0.14	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
MN075_F05	MN075	75	Mono	4-Sep-21	13/12/2021	IB	1	E02	faeces	Currumbin	F05	R02	0.24	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
MN077_F05	MN077	77	Mono	6-Sep-21	13/12/2021	IB	1	E03	faeces	Currumbin	F05	R03	0.27	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
MN078_F05	MN078	78	Mono	7-Sep-21	13/12/2021	IB	1	E04	faeces	Currumbin	F05	R04	0.21	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TG033_F14	TG033	33	Taggle	29-Jul-21	4/01/2022	IB	2	F07	faeces	Currumbin	F14	R07	0.36	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TG035_F14	TG035	35	Taggle	31-Jul-21	4/01/2022	IB	2	F08	faeces	Currumbin	F14	R08	0.14	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TG036_F14	TG036	36	Taggle	1-Aug-21	4/01/2022	IB	2	F09	faeces	Currumbin	F14	R09	0.17	Female	Late Gestation	FALSE	FALSE	Yes	No	F	TRUE
TG064_F16	TG064	64	Taggle	14-Sep-21	4/01/2022	IB	2	H01	faeces	Currumbin	F16	R01	0.26	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TG065_F16	TG065	65	Taggle	15-Sep-21	4/01/2022	IB	2	H02	faeces	Currumbin	F16	R02	0.23	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TG066_F16	TG066	66	Taggle	16-Sep-21	4/01/2022	IB	2	H03	faeces	Currumbin	F16	R03	0.15	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TY039_F02	TY039	39	Tachy	4-Aug-21	30/11/2021	AD	1	B07	faeces	Currumbin	F02	R07	0.44	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
TY041_F02	TY041	41	Tachy	6-Aug-21	30/11/2021	AD	1	B08	faeces	Currumbin	F02	R08	0.34	Female	Late Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY028_F08	BY028	28	Booniny	28-Jul-21	20/12/2021	IB	1	H09	faeces	Currumbin	F08	R09	0.12	Female	Early Gestation	FALSE	FALSE	Yes	No	Y	TRUE
BY029_F08	BY029	29	Booniny	29-Jul-21	20/12/2021	IB	1	H10	faeces	Currumbin	F08	R10	0.4	Female	Early Gestation	FALSE	FALSE	Yes	Yes	Y	TRUE
BY030_F08	BY030	30	Booniny	30-Jul-21	20/12/2021	IB	1	H11	faeces	Currumbin	F08	R11	NA	Female	Early Gestation	FALSE	FALSE	Yes	Yes	Y	TRUE
BY031_F12	BY031	31	Booniny	1-Aug-21	21/12/2021	IB	2	D08	faeces	Currumbin	F12	R08	0.27	Female	Early Gestation	FALSE	FALSE	Yes	Yes	Y	TRUE
BY032_F12	BY032	32	Booniny	2-Aug-21	21/12/2021	IB	2	D09	faeces	Currumbin	F12	R09	0.21	Female	Early Gestation	FALSE	FALSE	Yes	No	Y	TRUE
