ASV	Domain	Phylum	Class	Order	Family	Genus
0001b8b408db310a78d00387f1934a6a	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
0008cbbd0efcee672d46336211c8fefe	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
001af72c9a00006e454c5d7eeeb81c23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Camelimonas
001d18ff38395a871d1d683c880d2ac5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unknown Rhodospirillales	Unknown Rhodospirillales
003e998f73e8d340e8ab87ff9df1413c	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Enteractinococcus
008d3d92bfee2ea95d566dbc5cf3192d	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
0165422a30e9497d1e75f1ba49672827	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
01a75410e30981f12774ead5441083a9	Eukaryota	Parabasalia	Trichomonadea	Trichomonadea	Trichomonadea	Trichomonadea
0206c1d026306c8ace781276a8a13e3a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes
02775177e4e994982187c716dd395db7	Bacteria	Firmicutes	Clostridia	Unknown Clostridia	Unknown Clostridia	Unknown Clostridia
02b4cbe5c2955ab2f66dc82cdf6dad64	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
030a6deaf26fff60d0d6d22654145e45	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014
03435b5d4700ceafe871d3a320db632c	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanimicrococcus
0346891f3b51fe0813e49ead10f7c73e	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Tissierella
0356b8bf9fd15d2b45124228f1e8a464	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
038589cca1b86a9a2bf728529c98a599	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus
03a5e2efd1e146bca23d4860ace3b801	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes
03b10adc566e93d23372c71edcf48b34	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Clostridium]_methylpentosum_group	[Clostridium]_methylpentosum_group
03b37cb6bf357c4f66e4110c18d55d55	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
03e3a6bd6ef4cae21195daca3e501702	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
0414019fbf6990da9b14a5c07fa51e88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum
0429a8a999c3238e12bbfaa1714d385e	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
04524511556ae43c41266c364d115459	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Ignatzschineria
045f0d77e46447ea924a36eb39cfe238	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
04adf06f9cb9fb68155d436bca88e6ec	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
04be3b31e75dad69672531d2a13ef65a	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_2
04ca162b3dd2dc7f483ab3503bc605c3	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group
04ecfad5772d2e09a84a0f5ef460536c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum
04edaa963304c466674c30f9f9bb087e	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paeniclostridium
05040536cfc19e338f18624893c4bbdd	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
050eaf0bdc56cda74180290970f604aa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae
0524b17b05103f718555d6de92282097	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
0533d119408c1db1327e1a871b5fadc6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
053c3d19d89a77242623b8ca9ac3b471	Bacteria	Firmicutes	Clostridia	Oscillospirales	Unknown Oscillospirales	Unknown Oscillospirales
055e4d0714ae09e1c8c71db043456a0e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unknown Rhizobiaceae
057a322f385f1a38474d2a483549e712	Bacteria	Firmicutes	Clostridia	Unknown Clostridia	Unknown Clostridia	Unknown Clostridia
058c4bbfc0d579b6e53eacc5873b7840	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
05af9dfc3b4be55bbbc5d7ac2eaeb3df	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides
05b18ec772b1068d4e5af85a64eaed0f	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
05b83cdc7ab906ad877596c758708cc2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
05c7f292133beb488107a188212e75c3	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus
05d9ce684e4b95081628184b34640d3b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
05e81caa59104cc4163a2008f37727d4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
0606b3a86aca679dfe7af59d6b68bc76	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
060716edede38b8800ced54da91fd924	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Unknown Ruminococcaceae
0620fd43b2891d7572fe3c8a483b55ee	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
062d661a577fbf05ace62e284aba582d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
063b4d25dd6a14bebc6a74ac177892fb	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter
069fb6adb4ea03817210b9fc87d5858e	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
06c5b187311910781a96386a9d672713	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium
06cb24cefd1a0dc1945b2d354f179f45	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
06f825b512d903b9230e1a55d87359ee	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
0718d72870f5ad5d8d3925dac48330a9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
071adc1f6119b36a43480ff85d58b23a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
0724428485e93e8f81fae247be35d342	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
07699fa14cb8970eee5e8dda19dd5dbe	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella
0790f5623d236439b4a7e26668aff7ea	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
07bf54ad4a6082b20c2594897274bca7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
07cb3c7be05e60ca6bc806865c699004	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
0839fe69e5849ba92b3eac75fa26f746	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1
0841817dcc27194ecd67d30a22218962	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Unknown Ruminococcaceae
0855c4a25f77116d6e60cf990eb9f40d	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014
08667d4a0f17f08ab4190d2ad683f29c	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
086cfe20bfb2a74b5bbcf52c849fd410	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae_Sedis
08ab43dccf66ab1d2aab6325b73c1c2d	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)
08bd43071a06abf56df235fca6655bea	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
08bdc6c81f6b9daab3d132b54e1d45bc	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
08e374c808cca0267c7d32ff5fd4bd2b	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
08eba18fc9aa967e5e29f20ee5041a60	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
095074d743af75d66f9da96242f7cea0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriales_Incertae_Sedis	Tomitella
095559a91bb03700ef0ad69fb18e6aa8	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
095e0bf52f0d3e65a2d16c0836d56f5c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unknown Rhodobacteraceae
09aa002a2f42aaa4bce28e5c6737e22a	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unknown Vicinamibacterales	Unknown Vicinamibacterales
0a06e1012a3e0949e4f9f38aabc8ae14	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
0a282a8aa9b713a9db4ecbf2cc0a1001	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
0a3988bbb4acecf5ad2470145f58ef6f	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
0a4b275db68be1c69f7ab92db30ea19c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
0a6a7cb7d4d8b07386a7fe1b85080526	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus_Soleaferrea
0a9666b9327e910d49fb6c596e9d0343	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
0ac2994587688afe6947db3c27cef6d0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes
0b2763099deb3a27f838eb1f0f658331	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
0b36c352632cb1346cdc7d73f9fb376c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
0b4ea7c89e9f4c073c4130461703ed1d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
0b812c8d49c97a81c829fbbd9a769a01	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unknown Lachnospiraceae
